app_id,helpful,funny,date,is_recommended,hours,user_id,review_id
275850,4,2,2016-08-13,True,84.6,4290516,865
431960,0,0,2021-02-18,True,7.9,7615708,1563
1245620,0,0,2022-02-28,True,408.9,8015583,3973
292030,11,0,2021-07-19,True,247.4,1527561,6144
275850,0,0,2022-08-21,True,23.7,3093285,7370
108600,2,0,2021-12-27,True,80.1,1737670,7811
39210,0,0,2021-11-24,True,412.0,5404315,10294
306130,0,0,2021-11-27,True,7.4,3520441,11003
394360,0,0,2022-10-19,True,100.3,13238468,12545
582010,2,0,2020-01-22,True,643.9,13383782,13976
431960,0,0,2020-05-31,True,8.0,316032,16318
238960,0,0,2015-01-16,True,230.8,6125615,21340
359550,0,0,2017-11-27,True,562.0,4332218,26758
275850,0,0,2021-03-15,True,276.0,11856970,26949
107410,0,0,2020-09-28,True,85.2,10102516,32125
440900,3,0,2020-11-21,False,44.5,13269320,33453
291550,0,0,2021-10-12,True,261.8,1803704,34722
107410,0,0,2020-02-16,True,418.7,162242,35892
648800,0,0,2022-07-01,True,42.4,3095149,35917
431960,0,0,2021-01-16,True,112.3,2295653,36117
1332010,0,0,2022-11-25,True,11.6,11184542,36795
250900,0,0,2022-08-06,True,282.2,6647871,46280
306130,0,0,2019-08-13,True,1.9,5033849,47511
394360,0,0,2022-04-13,True,137.7,1545629,48797
814380,0,0,2022-11-24,True,125.5,4227970,49370
264710,0,0,2018-02-19,True,119.9,10529565,53981
1332010,0,0,2022-11-26,True,8.5,9011805,54245
252490,0,0,2022-09-29,True,760.5,6281719,55295
238960,0,0,2021-11-01,True,263.2,3243548,61298
518790,0,2,2022-01-28,False,27.9,3228794,63639
306130,0,0,2016-11-20,True,13.1,7238805,66158
1435790,0,6,2022-01-01,True,30.9,5459143,66290
1527950,0,0,2022-06-12,True,86.4,614066,68167
386360,0,0,2021-06-29,True,46.8,2347650,70397
1846380,0,0,2022-12-04,True,41.1,3884067,74503
814380,0,0,2022-12-29,False,13.5,2380040,75689
306130,0,0,2015-12-04,True,344.0,5376770,77758
